epoch,accuracy,binary_accuracy,binary_crossentropy,loss,val_accuracy,val_binary_accuracy,val_binary_crossentropy,val_loss
0,0.5011574029922485,0.5011574029922485,0.4657328128814697,0.4657328128814697,0.5,0.5,1.0784428119659424,1.0784428119659424
1,0.5,0.5,0.31901872158050537,0.31901872158050537,0.4955357015132904,0.4955357015132904,0.28698664903640747,0.28698664903640747
2,0.5,0.5,0.2633996307849884,0.2633996307849884,0.5,0.5,0.1869369000196457,0.1869369000196457
3,0.4996142089366913,0.4996142089366913,0.21970079839229584,0.21970079839229584,0.5,0.5,0.15383349359035492,0.15383349359035492
4,0.4972993731498718,0.4972993731498718,0.18556146323680878,0.18556146323680878,0.5022321343421936,0.5022321343421936,0.12929441034793854,0.12929441034793854
5,0.5011574029922485,0.5011574029922485,0.1620001494884491,0.1620001494884491,0.5022321343421936,0.5022321343421936,0.11112894862890244,0.11112894862890244
6,0.5,0.5,0.14002765715122223,0.14002765715122223,0.4933035671710968,0.4933035671710968,0.10664018243551254,0.10664018243551254
7,0.49884259700775146,0.49884259700775146,0.11928147077560425,0.11928147077560425,0.4955357015132904,0.4955357015132904,0.10144197940826416,0.10144197940826416
8,0.5011574029922485,0.5011574029922485,0.11092236638069153,0.11092236638069153,0.5022321343421936,0.5022321343421936,0.08965589106082916,0.08965589106082916
9,0.5003858208656311,0.5003858208656311,0.09732107818126678,0.09732107818126678,0.5066964030265808,0.5066964030265808,0.08115254342556,0.08115254342556
10,0.5003858208656311,0.5003858208656311,0.09016592055559158,0.09016592055559158,0.4977678656578064,0.4977678656578064,0.07837456464767456,0.07837456464767456
11,0.5011574029922485,0.5011574029922485,0.08386363834142685,0.08386363834142685,0.4933035671710968,0.4933035671710968,0.06559337675571442,0.06559337675571442
12,0.5007715821266174,0.5007715821266174,0.07187952101230621,0.07187952101230621,0.4955357015132904,0.4955357015132904,0.0720549151301384,0.0720549151301384
13,0.49884259700775146,0.49884259700775146,0.06750927120447159,0.06750927120447159,0.5022321343421936,0.5022321343421936,0.06355379521846771,0.06355379521846771
14,0.49884259700775146,0.49884259700775146,0.0662248432636261,0.0662248432636261,0.4955357015132904,0.4955357015132904,0.05845446512103081,0.05845446512103081
15,0.4996142089366913,0.4996142089366913,0.0530349463224411,0.0530349463224411,0.5044642686843872,0.5044642686843872,0.05420149117708206,0.05420149117708206
16,0.5027006268501282,0.5027006268501282,0.05339642986655235,0.05339642986655235,0.5022321343421936,0.5022321343421936,0.05068964511156082,0.05068964511156082
17,0.5011574029922485,0.5011574029922485,0.04661797732114792,0.04661797732114792,0.5,0.5,0.04714607819914818,0.04714607819914818
18,0.5007715821266174,0.5007715821266174,0.04702568054199219,0.04702568054199219,0.5,0.5,0.05279632657766342,0.05279632657766342
19,0.5015432238578796,0.5015432238578796,0.04273688793182373,0.04273688793182373,0.4977678656578064,0.4977678656578064,0.044334910809993744,0.044334910809993744
20,0.4992283880710602,0.4992283880710602,0.03434036672115326,0.03434036672115326,0.4977678656578064,0.4977678656578064,0.03825749084353447,0.03825749084353447
21,0.4996142089366913,0.4996142089366913,0.037570271641016006,0.037570271641016006,0.4977678656578064,0.4977678656578064,0.042207587510347366,0.042207587510347366
22,0.5007715821266174,0.5007715821266174,0.03396559879183769,0.03396559879183769,0.4955357015132904,0.4955357015132904,0.043242424726486206,0.043242424726486206
23,0.5007715821266174,0.5007715821266174,0.034236565232276917,0.034236565232276917,0.4955357015132904,0.4955357015132904,0.04392553120851517,0.04392553120851517
24,0.5,0.5,0.02824927493929863,0.02824927493929863,0.5022321343421936,0.5022321343421936,0.033342521637678146,0.033342521637678146
25,0.5,0.5,0.029682645574212074,0.029682645574212074,0.4955357015132904,0.4955357015132904,0.03571907803416252,0.03571907803416252
26,0.5003858208656311,0.5003858208656311,0.026365645229816437,0.026365645229816437,0.5,0.5,0.03459984064102173,0.03459984064102173
27,0.49884259700775146,0.49884259700775146,0.02463456802070141,0.02463456802070141,0.5,0.5,0.03751755878329277,0.03751755878329277
28,0.5003858208656311,0.5003858208656311,0.02337535284459591,0.02337535284459591,0.5044642686843872,0.5044642686843872,0.03125455975532532,0.03125455975532532
29,0.4996142089366913,0.4996142089366913,0.027766268700361252,0.027766268700361252,0.4955357015132904,0.4955357015132904,0.035670045763254166,0.035670045763254166
30,0.5,0.5,0.021604225039482117,0.021604225039482117,0.4977678656578064,0.4977678656578064,0.03168362006545067,0.03168362006545067
31,0.5011574029922485,0.5011574029922485,0.021245229989290237,0.021245229989290237,0.5022321343421936,0.5022321343421936,0.03028716705739498,0.03028716705739498
32,0.5003858208656311,0.5003858208656311,0.02095816284418106,0.02095816284418106,0.5066964030265808,0.5066964030265808,0.031305428594350815,0.031305428594350815
33,0.4992283880710602,0.4992283880710602,0.01873229630291462,0.01873229630291462,0.5044642686843872,0.5044642686843872,0.027580207213759422,0.027580207213759422
34,0.5015432238578796,0.5015432238578796,0.02020920068025589,0.02020920068025589,0.5022321343421936,0.5022321343421936,0.027320710942149162,0.027320710942149162
35,0.4996142089366913,0.4996142089366913,0.016530390828847885,0.016530390828847885,0.5044642686843872,0.5044642686843872,0.03269294276833534,0.03269294276833534
36,0.4992283880710602,0.4992283880710602,0.016602464020252228,0.016602464020252228,0.5,0.5,0.04605772718787193,0.04605772718787193
37,0.501928985118866,0.501928985118866,0.019260620698332787,0.019260620698332787,0.5044642686843872,0.5044642686843872,0.031462736427783966,0.031462736427783966
38,0.5,0.5,0.017478514462709427,0.017478514462709427,0.5,0.5,0.030583728104829788,0.030583728104829788
39,0.5003858208656311,0.5003858208656311,0.018059082329273224,0.018059082329273224,0.4977678656578064,0.4977678656578064,0.032802652567625046,0.032802652567625046
40,0.5011574029922485,0.5011574029922485,0.015469016507267952,0.015469016507267952,0.5022321343421936,0.5022321343421936,0.025273796170949936,0.025273796170949936
41,0.5011574029922485,0.5011574029922485,0.016130704432725906,0.016130704432725906,0.5,0.5,0.0240771621465683,0.0240771621465683
42,0.49845677614212036,0.49845677614212036,0.012159811332821846,0.012159811332821846,0.5022321343421936,0.5022321343421936,0.02182665280997753,0.02182665280997753
43,0.5003858208656311,0.5003858208656311,0.014009566977620125,0.014009566977620125,0.5022321343421936,0.5022321343421936,0.032578304409980774,0.032578304409980774
44,0.5007715821266174,0.5007715821266174,0.012694110162556171,0.012694110162556171,0.5022321343421936,0.5022321343421936,0.021905330941081047,0.021905330941081047
45,0.49845677614212036,0.49845677614212036,0.010862892493605614,0.010862892493605614,0.5022321343421936,0.5022321343421936,0.022680867463350296,0.022680867463350296
46,0.5003858208656311,0.5003858208656311,0.011424769647419453,0.011424769647419453,0.4955357015132904,0.4955357015132904,0.02014845982193947,0.02014845982193947
47,0.5,0.5,0.012051017954945564,0.012051017954945564,0.5022321343421936,0.5022321343421936,0.021887728944420815,0.021887728944420815
48,0.4996142089366913,0.4996142089366913,0.010987686924636364,0.010987686924636364,0.5,0.5,0.02038094587624073,0.02038094587624073
